Forest Whitaker,"Though actor Forest Whitaker started college on an athletic scholarship, the charismatic and award-winning performer made the unlikely shift from football to studying to become a classical tenor and eventually, an actor. After gaining some attention in several stage musicals, Whitaker made an immediate impression with a small, but memorable role in his feature debut, ""Fast Times at Ridgemont High"" (1982). Following a quick succession of supporting roles in features and on television, he earned his first wave of critical accolades for his portrayal of drug-addicted jazz saxophonist Charlie Parker in ""Bird"" (1988). Once he was established as a viable leading man, Whitaker easily oscillated between low-budget and studio projects, earning equal acclaim for his performances. Taking his career to the next level, he made several forays into feature directing - most notably ""Waiting to Exhale"" (1995) - but continued to churn out one sterling performance after another until finally reaching new heights with his Oscar-winning portrayal of Ugandan dictator Idi Amin in ""The Last King of Scotland"" (2006), which came hot on the heels of another mesmerizing performance as an obsessive internal affairs officer on season five of ""The Shield"" (FX, 2002-08). Both roles only confirmed that Whitaker was one of Hollywood's most versatile, surprising and talented actors of his day. His work as a producer on films like ""Fruitvale Station"" (2013) and ""Dope"" (2015) helped shepherd a new generation of African-American filmmakers while his work in hits like ""The Butler"" (2013), ""Rogue One: A Star Wars Story"" (2016) and ""Black Panther"" (2018) kept him firmly in audiences' minds."
Michael Stuhlbarg,"While award-winning stage actor Michael Stuhlbarg was known in New York theater circles since the 1990s, he was considered a relative unknown when the Coen Brothers cast him as the lead in their 2009 feature, ""A Serious Man."" Among Stuhlbarg's calling cards were his chameleonic versatility, including his ability (and willingness) to wildly alter his physical appearance, as well as a talent that could toe the line between comedy and tragedy. He appeared in a number of Shakespeare in the Park productions in New York, including starring roles in ""Hamlet"" and ""Richard II,"" and garnered a Tony Award nomination in 2005 for his supporting Broadway role in ""The Pillowman."" Prior to 2009, Stuhlbarg made a few supporting film appearances and found he was curiously at home in period pieces, but it was his  ""Serious Man"" breakout that truly showcased the soulfulness and expressive face of the stage-to-screen crossover talent."
Mark O'Brien,
Tzi Ma,"The Hong Kong-born Tzi Ma, who studied theatre and dance in America, has proven that Asian men can carve out a successful niche in Hollywood, even if they aren't action superstars like Jackie Chan or Jet Li. One of his earliest roles to gain notice was as the main heavy in 1992's ""Rapid Fire,"" in which he fought hand-to-hand on an elevated train platform with Brandon Lee, son of the legendary Bruce Lee. But for most of the decade, it was just as common to see Ma in roles that didn't require kung-fu kicks; he was effective in the 1994 drama ""Golden Gate"" (written by David Henry Hwang, with whom he collaborated numerous times for the stage) and on ""NYPD Blue"" in the recurring part of Detective Harold Ng. In 2002, he played a shadowy assistant to Michael Caine's British journalist in ""The Quiet American,"" one of the more critically acclaimed films of the year. This gave his career a boost, and he subsequently landed his highest-profile film yet: the Coen Brothers' 2004 remake of ""The Ladykillers,"" which allowed Ma to show off a more comedic side. During this time, he was also active in independent film, playing a retiree desperately trying to hide a dark secret from his three grown daughters in ""Red Doors."" As for television work, Ma appeared in the series ""24"" as Cheng Zhi, a Chinese official who matches wits and wills, as opposed to fists, with protagonist Jack Bauer."
Hugh Jackman,"A stage and screen actor of remarkable versatility, Australia-born Hugh Jackman had the unusual honor of being named one of People magazine's ""Sexiest Men Alive,"" while also maintaining fandom among legions of comic book enthusiasts for portraying famed X-Men character Wolverine. After receiving his start in film and on television in his native Australia, Jackman was catapulted to stardom as the edgy, violence-prone Wolverine in the blockbuster hit ""X-Men"" (2000), a role he reprised over the course of his career in sequels like ""X-Men Origins: Wolverine"" (2009) and ""X-Men: Days of Future Past"" (2014) before closing the books on his performance in the R-rated finale ""Logan"" (2017). In between, he earned critical acclaim for his performance in the romantic comedy ""Kate & Leopold"" (2001), played a computer-hacking criminal in the thriller ""Swordfish"" (2001) and cut down vampires as ""Van Helsing"" (2004). After starring in Christopher Nolan's ""The Prestige"" (2006) and Darren Aronofsky's ""The Fountain"" (2006), Jackman joined fellow Aussies Nicole Kidman and Baz Luhrmann for the romantic epic ""Australia"" (2008). A veteran of the musical stage, Jackman was a natural fit to serve as host of the Tony Awards and Academy Awards, while also starring in the long-awaited adaptation of ""Les Misérables"" (2012) and appearing as Blackbeard in the Peter Pan reimagining ""Pan"" (2015) and P.T. Barnum in the musical drama ""The Greatest Showman"" (2017). Because of his rugged charm and diversity of talent, Jackman capably alternated between great displays of theatricality and calculated reserve while becoming one of Hollywood's favored leading men."
Patrick Stewart,"Equally at home on stage or screen, Sir Patrick Stewart beamed into the public's consciousness as Captain Jean-Luc Picard in ""Star Trek: The Next Generation"" (Syndicated, 1987-94) and never left. Born in Yorkshire, England, he began acting as a youngster, attending the Bristol Old Vic Theatre School. He joined the Royal Shakespeare Company in his mid-20s, performing with fellow future stars Ben Kingsley and Helen Mirren. He made his screen debut in an episode of ""Story Parade"" (BBC, 1964-65) but primarily concentrated on his stage career until the early-1970s. After gaining notice for his RSC performances in ""Julius Caesar"" and ""Antony and Cleopatra,"" he was cast in the Russian play ""The Love Girl and the Innocent"" for an episode of ""BBC Play of the Month"" (BBC, 1965-83). His stage work crossed over to the screen as well when he recreated his acclaimed portrayal of Enobarbus for ""Antony and Cleopatra"" (ITVC, 1974). On television, he starred in the miniseries ""North & South"" (BBC, 1975) and appeared as Sejanus in ""I, Claudius"" (BBC2, 1976). While still performing regularly on stage, he continued acting occasionally on television, including playing Claudius in a production of ""Hamlet, Prince of Denmark"" (BBC, 1980) and joined the cast of the big screen King Arthur epic ""Excalibur"" (1981). He was cast as the lead in the series ""Maybury"" (BBC2, 1981-83) playing psychiatrist Dr. Edward Roebuck. Stewart also appeared in David Lynch's big-budget adaptation of Frank Herbert's sci-novel ""Dune"" (1984). He would soon, though, find a role that would catapult him to lasting fame. After the success of the ""Star Trek"" films of the 1980s, the creator of the original TV series, Gene Roddenberry created a follow-up, ""Star Trek: The Next Generation"" with Stewart as Captain Jean-Luc Picard of the Starship Enterprise. The show weathered some early bumps to eventually find a rabid and loyal following, thanks in large part to Stewart's commanding performance. It became one of the most successful syndicated shows in television history, winning Hugo and Peabody awards. While appearing on ""Next Generation,"" he continued making stage appearances, including starring in a one-man adaptation of Charles Dickens ""A Christmas Carol"" that would become a recurring part of his career. After his series ended, the actor followed the role to the big screen in ""Star Trek Generations"" (1994), getting a chance to appear on screen with his ""Star Trek"" predecessor, William Shatner's James T. Kirk. He showed a markedly different side when he appeared with Steven Weber in the film adaptation of Paul Rudnick's play ""Jeffrey"" (1995) playing a gay decorator whose partner is infected with AIDS. He returned to playing Picard for ""Star Trek: First Contact"" (1996). He went on to star in the comedy ""Masterminds"" (1997) and play Captain Ahab in ""Moby Dick"" (USA Network, 1998). Another return to the Enterprise in ""Star Trek: Insurrection"" (1998) followed, along with a TV version of his stage performance of Scrooge in ""A Christmas Carol"" (TNT, 1999). As the 21st Century arrived, Stewart found another role that would nearly match Picard. Bryan Singer cast the actor as Professor Charles Xavier, leader of a group of superhero mutants, in ""X-Men"" (2000) based on the popular Marvel comic book. For a time, he was leading two film franchises, appearing in ""Star Trek: Nemesis"" (2002) and ""X2: X-Men United"" (2003). On television, he joined Glenn Close for a retelling of ""The Lion in Winter"" (Showtime, 2003). He also starred with Kyle Machlachlan in Jules Verne's ""Mysterious Island"" (Hallmark, 2005) and in the miniseries ""Eleventh Hour"" (ITV, 2006). He rejoined his mutant cohorts in the sequel ""X-Men: The Last Stand"" (2006). His sonorous vocal style made him a natural for voice work and the actor racked up numerous credits, including lending his talents to shows like ""Family Guy"" (Fox, 1999- ) and ""Robot Chicken"" (Cartoon Network, 2005- ). Stewart returned to his Shakespearian roots with a Tony-nominated turn in ""Macbeth"" and joining David Tennant for ""Hamlet"" (BBC2, 2009). He appeared as well with his ""X-Men"" co-star Ian McKellen in a production of ""Waiting for Godot."" Not everything was quite so highbrow, as the actor starred in the comedy ""Hunting Elephants"" (2013). After starring as a Juilliard dance professor in ""Match"" (2014), he reteamed with McKellen for another mutant adventure. His Professor X and McKellen's Magneto shared the screen with their younger versions, played by James McAvoy and Michael Fassbender, in ""X-Men: Days of Future Past"" (2014). The actor also starred in the holiday comedy ""Christmas Eve"" (2015) and the series ""Blunt Talk"" (Starz, 2015-16). He had a chance to play Charles Xavier one more time, starring with Hugh Jackman in ""Logan"" (2017). He starred with Close and John Malkovich in ""The Wilde Wedding"" (2017) and played Merlin in ""The Kid Who Would Be King"" (2019). After appearing in the reboot of ""Charlie's Angels"" (2019). Stewart returned to the role that first made him famous. The actor played an older Jean-Luc Picard in ""Star Trek: Picard"" (CBS All-Access: 2020- )."
Dafne Keen,"Dafne Keen was a British-Spanish actress born on January 19, 2005. The daughter of actor Will Keen and actress, theater director, and writer María Fernández Ache, Dafne was also the paternal great-granddaughter of Edward Curzon, 6th Earl Howe, a member of the English peerage. Known for his roles in ""Victor Frankenstein"" (2015) and ""The Crown"" (Netflix, 2016-), Will Keen acted alongside his daughter in her acting and television debut, ""The Refugees"" (laSexta, 2015). The British-Spanish co-production followed a massive group of refugees time traveling to the past to avoid a deadly virus; both father and daughter were a part of the main cast. Dafne Keen landed her breakout role (and her film debut) as Laura in ""Logan"" (2017), the conclusion of Hugh Jackman's run as the iconic Marvel Comics and X-Men character Wolverine. As his mutant daughter (claws run in the family), Keen received critical praise. She then joined the television adaptation of Philip Pullman's ""His Dark Materials"" (BBC One, TBA) as main character Lyra, appearing alongside her father Will once again."
Richard E. Grant,"Character actor Richard E. Grant crafted a career that saw him equally at home in projects as disparate as ""Game of Thrones"" (HBO, 2011-) and ""Downton Abbey"" (ITV, 2010-15). Born in Mbabane, Eswatini, he began his acting career in Cape Town, South Africa before relocating to England. After a small role in the sitcom ""Sweet Sixteen"" (BBC, 1983), he quickly jumped into the deep end. Playing the frequently drunk title character in Bruce Robinson's ""Withnail & I"" (1987), Grant was at the center of what would quickly become a cult classic. He teamed again with Robinson for the oddball comedy ""How to Get Ahead in Advertising"" (1989), about a marketing executive with a boil that talks. The work caught Hollywood's attention, and he was soon acting in high-profile fare like ""L.A. Story"" (1991), with Steve Martin, and Robert Altman's ""The Player"" (1992). He also starred in the Academy Award-winning short ""Franz Kafka's It's a Wonderful Life"" (1995). Drawing upon his classical training, he played Sir Andrew Aguecheek in Trevor Nunn's big screen adaptation of Shakespeare's ""Twelfth Night or What You Will"" (1996) opposite Helena Bonham Carter. He found himself exposed to a completely different kind of audience when he joined the pop group Spice Girls in ""Spice World"" (1998). He worked steadily, including playing classic characters such as Bob Cratchit in ""A Christmas Carol"" (TNT, 1999) and the namesake hero in ""The Scarlet Pimpernel"" (BBC, 1999-2000). He began his first brush with the sci-fi classic ""Doctor Who"" (BBC, 2005-) when he appeared with Rowan Atkinson in the comedy short ""Doctor Who - The Curse of Fatal Death"" (BBC, 1999). He went on to voice the Doctor in an animated project ""Doctor Who: Scream of the Shalka"" (BBC, 2003), and then later played the villainous Great Intelligence in the main series. His work in television included recurring roles on ""Downton Abbey"" playing art historian Simon Bricker and as Jasper in ""Girls"" (HBO, 2012-17). He also had a memorable appearance in ""Game of Thrones"" playing the egotistical actor Izembaro. He found a fresh round of acclaim for his talents when he joined Melissa McCarthy for ""Can You Ever Forgive Me?"" (2018). Playing McCarthy's partner in a scam to sell forged letters from literary greats, Grant earned critical raves and an Academy Award nomination for Best Supporting Actor. The stellar notices didn't slow him at all. He continued working, appearing on television in the sitcom ""Hang Ups"" (Channel 4, 2018-) and ""A Series of Unfortunate Events"" (Netflix, 2017-19), and in the Disney film ""The Nutcracker and the Four Realms"" (2018). He then carved out a place in yet another sci-fi classic with a starring role in ""Star Wars: Episode IX"" (2019)."
Doris Morgado,
Boyd Holbrook,"Boyd Holbrook was an American actor and model whose film credits include ""A Walk Among the Tombstones"" (2014) and the searing biopic ""Milk"" (2008). The son of Ellen and Don Holbrook, he was born on September 1, 1981 in the small county seat of Prestonsburg, Kentucky. Holbrook's natural good looks took him to the world of modeling, first signing with Elite Models agency in 2001. He worked with numerous agencies and modeled all over Europe and Asia for designers such as Gucci, Calvin Klein, and Hugo Boss. With the money he saved up from his days as a fashion model, Holbrook studied film at New York University where he earned an SCSP Certificate in 16mm film. Ambition turned to good fortune for Holbrook in 2007 when he sent an original screenplay to director Gus Van Sant. Impressed by his work, Van Sant cast him in his movie ""Milk,"" a biographical film about the late gay rights activist and politician Harvey Milk. The film was a critical success and won Best Original Screenplay at the 2009 Academy Awards. Holbrook next had the opportunity to work with both Academy Award-winner Kevin Costner and Golden Globe nominee Bill Paxton in the History Channel's three-part television miniseries ""Hatfields & McCoys"" (2012). In 2013, he was seen playing Kyle O'Shea in the film adaptation of Twilight author Stephenie Meyer's science fiction novel ""The Host,"" and Cary James in Steven Soderbergh's drama ""Behind the Candelabra"" (HBO 2013) which starred Michael Douglas and Matt Damon as Liberace and his lover Scott Thorson. Holbrook's filmography grew rapidly the following year, appearing in four movies that included ""The Skeleton Twins"" (2014), a critically-acclaimed comedy-drama starring Kristen Wiig and Bill Hader, ""A Walk Among the Tombstones"" (2014), an adaptation of one of Lawrence Block's Matt Scudder detective novels starring Liam Neeson, romantic comedy ""Very Good Girls"" (2014) and David Fincher's hit ""Gone Girl"" (2014). The following year, Holbrook starred in ""Narcos"" (Netflix 2015- ), a thriller set in the Latin American drug trade."
Tom Holland,
Samuel L. Jackson,"Although starting out with small roles and trouble with the law, Samuel L. Jackson has since become a highly sought after actor and film producer.  Born in Washington, D.C.,he was a student activist at Morehouse College and served as an usher at the funeral of Dr. Martin Luther King Jr. His protests led to his being arrested and convicted of unlawful confinement. After finishing college, he moved to New York where his early stage and television career was stunted by substance abuse issues. After a number of small parts on television in the early '80s, Jackson's career finally began to find true traction thanks to his relationship with Spike Lee. The director cast him in parts in ""School Daze"" (1988),""Do the Right Thing"" (1989), and ""Mo' Better Blues"" (1990). Along with small, but memorable roles, in ""Coming to America"" (1988) and Martin Scorsese's ""Goodfellas"" (1990), his profile in the industry began increasing. His true breakout came due to another collaboration with Lee. After having just completed a rehabilitation program for cocaine and heroin addiction, Jackson garnered critical raves as the drug-addicted brother of Wesley Snipes' architect in ""Jungle Fever"" (1991). His film roles increased steadily, including parts in Steven Spielberg's blockbuster ""Jurassic Park"" (1993) and opposite Harrison Ford in the thriller ""Patriot Games"" (1992). It was a relationship with another director, however, that put the actor on the map for good. Having worked with Quentin Tarantino on ""True Romance"" (1993), he was cast in the filmmaker's seminal ""Pulp Fiction"" (1994). Playing the Scripture-quoting hitman Jules, alongside John Travolta, the actor was swept up in a pop culture phenomenon. From then on, Jackson became an in-demand film actor. His high profile roles included joining Bruce Willis for ""Die Hard With a Vengeance"" (1995) and reteaming with Tarantino for ""Jackie Brown"" (1997). He also joined sci-fi lore by playing Jedi Master Mace Windu in George Lucas's ""Star Wars"" prequels, ""The Phantom Menace"" (1999), ""Attack of the Clones"" (2002), and ""Revenge of the Sith"" (2005). M. Night Shyamalan paired the actor once again with Willis for the supernatural thriller ""Unbreakable"" (2000) - a film that would eventually get a sequel 19 years later starring the pair again in ""Glass"" (2019). He later became one of the mainstays of the Marvel Cinematic Universe with his role as S.H.I.E.L.D. agent Nick Fury. Beginning in ""Iron Man"" (2008) and continuing through the international blockbusters of ""The Avengers"" (2012) series and appearing as a younger version of the character in ""Captain Marvel"" (2019), Jackson played the hero to the point of becoming synonymous with the character. The actor continued his relationship with Tarantino as well, appearing in the director's ""Django Unchained"" (2012) and ""The Hateful Eight"" (2015). Jackson's standing as an action star continued deep into his career as well, playing John Shaft in both ""Shaft"" (2000) and the sequel ""Shaft"" (2019), and teaming with Ryan Reynolds for ""The Hitman's Bodyguard"" (2017) and ""The Hitman's Wife's Bodyguard"" (2020)."
Jake Gyllenhaal,"Despite his pedigree as a child of show biz, actor Jake Gyllenhaal earned his spot as one of Hollywood's leading performers purely by way of his merits. With screenwriter and director parents, and an equally talented and famous actor sister, Gyllenhaal used his inherent intelligence and sensitivity to make his name in independent films. As a teenager, Gyllenhaal lent a subtle, soulful sense of complicated youth to a number of acclaimed art-house titles, including ""Donnie Darko"" (2001), which emerged as a hit from the 2001 Sundance Film Festival and paved the way for his future career. As he matured into his twenties, Gyllenhaal was increasingly in demand for a wide range of material - from the small-town-set indie ""The Good Girl"" (2002) to Roland Emmerich's tentpole blockbuster ""The Day After Tomorrow"" (2004). He delivered one of his best performances in arguably the most controversial movie of his career, ""Brokeback Mountain"" (2005), which earned him his greatest critical acclaim to date. From there, Gyllenhaal developed into a prominent leading actor capable of turning in understated performances as he did as a San Francisco Chronicle reporter obsessively chasing down a killer in ""Zodiac"" (2007), while holding his own opposite Meryl Streep and Alan Arkin in ""Rendition"" (2007). Though he stumbled in his first blockbuster starring role with ""Prince of Persia: The Sands of Time"" (2010), Gyllenhaal remained a bankable star possessing the ability to excel in a myriad of different film genres. His compelling against-type performance in the noirish drama ""Nightcrawler"" (2014) was critically acclaimed, and was followed by star turns in boxing drama ""Southpaw"" (2015) and action drama ""Everest"" (2015)."
Marisa Tomei,"For some performers, winning an Oscar became both a blessing and a curse. While an Academy Award could lead to bigger and better roles, it could also bring about career stagnation, as the actor tried to live up to unrealistic expectations. Actress Marisa Tomei was in danger of failing to warrant the hype after seemingly coming out of nowhere to nab Best Supporting Actress for her comical performance in ""My Cousin Vinny"" (1992). Though she spent the following years in little-seen movies like ""Only You"" (1994) and ""Happy Accidents"" (2000), Tomei also delivered powerful performances in indie dramas ""Unhook the Stars"" (1996) and ""The Slums of Beverly Hills"" (1998), but they failed to propel her career due to slim box office performances. She proved her talent and career longevity, however, with her Oscar-nominated, subtle but complex turns in ""In the Bedroom"" (2001) and ""The Wrestler"" (2008), as well as strong performances in films ranging from romantic comedy ""Crazy, Stupid, Love"" (2011) to barbed satire ""The Big Short"" (2015) proving her worth to critics who had cruelly deemed her win for ""My Cousin Vinny"" to be a fluke, vindicating fans and critics who recognized her considerable talents all along."
Jon Favreau,"Actor, producer, writer and director Jon Favreau hit unlikely pay dirt when ""Swingers"" (1996), his low-budget, autobiographical indie about struggling young actors, turned he and co-star/real-life best friend Vince Vaughn into hot property seemingly overnight. Favreau parlayed his rising profile into a number of supporting big-screen roles as cynical side men, but he was more anxious to get behind the camera and direct bigger features. After another indie buddy comedy with Vaughn, mob farce ""Made"" (2001), Favreau went wide with the holiday hit ""Elf"" (2003), starring a spandex-clad Will Ferrell. His acclaimed adaptation of the kids book ""Zathura: A Space Adventure"" (2005) missed the mark with audiences, but his 2008 adaptation of Marvel Comics' ""Iron Man"" starring Robert Downey, Jr. was one of the most anticipated action films of the year, leading to a return to leading man status for Downey, Jr. and hard-won blockbuster credentials for its highly creative director. Along with continuing with the Marvel Cinematic Universe as a producer and actor (playing Tony Stark's personal assistant Happy Hogan), Favreau found further success as a director through films as varied as the romantic comedy-drama ""Chef"" (2014) and the CGI blockbusters ""The Jungle Book"" (2016) and ""The Lion King"" (2019)."
Zendaya,"As both a singer and an actress, Zendaya Coleman (who usually dropped her surname professionally) earned stardom at a very young age, thanks to her leading role on the children's sitcom ""Shake It Up!"" (Disney Chanel, 2010-13). Zendaya was born on Sept. 1, 1996 in Oakland, CA, where her mother worked as a stage manager and children's acting coach at the California Shakespeare Theater. While performing in numerous productions, Zendaya attended the Oakland School of the Arts before studying at the CalShakes Conservatory Program and the American Conservatory Theater, earning credits in productions of ""Richard III,"" ""As You Like It"" and ""Twelfth Night."" From there, the talented young actress modeled for Macy's, Old Navy, and Sears, before appearing in the music video of Kidz Bop cover of Katy Perry's ""Hot n Cold"" (2009). Zendaya soon landed the role of aspiring dancer Rocky Blue on ""Shake It Up!"" while launching her music career with the singles ""Swag it Out"" (2011) and ""Watch Me"" (2011). After making her film debut in the Disney-made ""Frenemies"" (2012), she released her third single, ""Something to Dance For"" (2012), and in 2013 was announced as a contestant on the 16th season of ""Dancing with the Stars"" (ABC, 2005- ). In 2014, Coleman was chosen to play the late singer and actress Aaliyah in a biopic, but following a social media outcry over the light-skinned Coleman portraying the darker-complexioned Aaliyah, the actress bowed out of the production, claiming creative differences and worries over the film's music rights. After starring in the TV film ""Zapped"" (Disney 2014), Zendaya starred in the sitcom ""KC Undercover"" (Disney 2015- ) as teenage spy K.C. Cooper. She made her big-screen debut in the superhero blockbuster ""Spider-Man: Homecoming"" (2017), followed by a supporting role in P.T. Barnum biopic ""The Greatest Showman"" (2017)."
Kumail Nanjiani,"A comedic jack of all trades, Kumail Nanjiani never forgot his Pakistani roots even while riffing on the all-American life he had created for himself. He wrote for some of the hippest and most ground-breaking TV comedies of his era, and still found time to co-host a podcast about the nerd world of video games while putting together a weekly live show that helped put Los Angeles back on the map of stand-up. Born in Karachi, Pakistan in 1978, Nanjiani moved to Iowa with his family when he was 18. In college, he first discovered stand-up by listening to his uncle's tapes of comedy acts, and he became obsessed. By his junior year in college he began doing his own stand-up routines. His major in computer sciences, gave him a solid nerd-culture base for his act as he drifted slowly into the comedy world of New York City. He worked briefly as a writer on ""Saturday Night Live"" (NBC 1975- ), but his work on the short-lived sketch program ""Michael and Michael Have Issues"" (Comedy Central 2009) gave him his first taste of acting. The producers wanted the writers to also have bit parts on the show, and Nanjiani discovered that the acting informed his writing, and the writing improved his acting. Along with his burgeoning stand-up career, Nanjiani had small roles in the films ""Life As We Know It"" (2010) and ""The Five Year Engagement"" (2012). During this era, Nanjiani moved from New York to Los Angeles, where podcast impresario Chris Hardwick invited him to create a show about comic books. Since he knew video games much better, he convinced Hardwick to center the show on video game obsessions. The podcast, The Indoor Kids, was co-hosted by Nanjiani's wife, comic and writer Emily V. Gordon. As if the television appearances, movies and podcasts weren't enough, Nanjiani also started co-hosting a weekly stand-up show in the back room of a Los Angeles comic book store called The Meltdown alongside fellow comic Jonah Ray. The show, which featured rising and known comics doing new, improvisational and experimental material, was so successful that in 2014 Comedy Central signed it up to become one of the network's live comedy showcases; the shows ended in 2016 when the pair's other duties began taking too much of their time. Nanjiani also continued to act, appearing regularly as various characters on Fred Armisen and Carrie Brownstein's offbeat comedy series ""Portlandia"" (IFC 2011- ) and taking on a co-starring role in Mike Judge's satirical series ""Silicon Valley"" (HBO 2014- ). Nanjiani and Gordon branched into screenwriting with ""The Big Sick"" (2017), an autobiographical comedy about their courtship that starred Nanjiani as himself and Zoe Kazan as Emily."
Zoe Kazan,
Holly Hunter,"Petite, fiery, and altogether confident, Holly Hunter was an Academy Award-winning actress and producer who rose to prominence in the late 1980s and early 1990s with a string of roles in challenging and critically acclaimed films. After a series of supporting roles, Hunter had her first starring role in the Coen Brothers' comedy ""Raising Arizona"" (1987), and that same year, she also earned an Oscar nod for her performance in ""Broadcast News"" (1987). Following an Emmy-winning turn as a fictionalized Jane Roe in ""Roe v. Wade"" (NBC, 1989), Hunter earned the biggest accolades of her career - as well as a Best Actress Oscar - for her renowned performance as a mute pianist in ""The Piano"" (1993). From there, she delivered quality supporting and leading turns in ""The Firm"" (1993), ""A Life Less Ordinary"" (1997), ""Crash"" (1997) and ""Jesus' Son"" (1999). In the new millennium, Hunter was exemplary as a frustrated mother in ""Thirteen"" (2003) and enjoyed voicing Elastigirl in the Pixar hit ""The Incredibles"" (2004). She stepped away from the big screen to star in the short-lived, but critically acclaimed cable series ""Saving Grace"" (TNT, 2007-2010), proving that her extraordinary talents could make the successful transition to the small screen."
Ray Romano,"In his early days as a stand-up comic, Ray Romano won over audiences with his New York accent and his deadpan delivery of domestic humor and observations. When he translated that accessible, everyday-guy persona into a sitcom, he made television history with ""Everybody Loves Raymond"" (CBS, 1996-2005), one of the best-loved, most critically acclaimed sitcoms of the era. A Top 10 ratings earner for over half of its nine-year run, the show's success was rooted in its outstanding ensemble cast and its relatable focus on the minutiae of family life, with adults taking center stage. The show transformed Romano into one of the top TV stars of the day, with a best-selling memoir and a Grammy-nominated comedy album to complete the picture. When he ventured out onto the big screen, however, it was hit-or-miss, with several failed attempts at buddy comedies and darker independent films but blockbuster success arrived in the shape of Manny, the wooly mammoth who Romano amusingly voiced in the animated ""Ice Age"" franchise. In the wake of nearly a decade spent on the CBS sitcom he created, Romano branched out in 2009 with another primetime project, ""Men of a Certain Age"" (TNT, 2009-11). The hourlong comic drama proved that Romano could ably inhabit less autobiographical material than his previous hit, yet still draw in audiences with his intensely likable persona and timeless wit."
Anupam Kher,"Anupam Kher was an internationally recognized Indian actor who in addition to appearing in hundreds of successful films in his native India, also became recognized all over the world for his roles in critically acclaimed films like ""Bend It Like Beckham"" (2002), ""Lust, Caution"" (2007) and ""Silver Linings Playbook"" (2012). Born and raised in the Indian city of Shimla, Kher grew up in relatively modest upbringings. However, he always had a desire to become a professional actor. Thus, when he was of age Kher moved to New Delhi to study acting at the prestigious National School of Drama. After graduation Kher moved to Mumbai to pursue his acting career in earnest. The early days of his career were full of intense struggle and sacrifice. While attempting to chart his own course in the thriving Indian film industry, Kher had no money and had to sleep on train station platforms because he couldn't afford an apartment. His luck would change, however, in 1982 after he landed his first role in the Indian film ""Apmaan"" (1982). It was the beginning of a thriving film career that would include hundreds of roles in Indian films over the course of the next thirty-plus years. By the early 2000s, with his film acting in career in India thriving, Kher began widening his appeal by appearing in international films. In addition to appearing in the critically acclaimed ""Bend It Like Beckham,"" Kher also nabbed parts in the equally as popular ""Lust, Caution"" (2007) and ""Silver Linings Playbook."" With his acting career in both India and throughout the world on the rise, Kher continued working steadily throughout the 2010s. In the United States he became a recognizable face for his recurring part on the Netflix science fiction series ""Sense8"" (Netflix, 2015-18), as well for his supporting role in the 2017 Oscar-nominated comedy-drama ""The Big Sick"" (2017). Furthermore, Kher added to his resume of appearing in English language films and television shows by appearing in a recurring role on the BBC mini-series ""Mrs. Wilson"" (BBC, 2018). ""Mrs. Wilson,"" which is set in both India and London throughout the 1930s to the 1960s, premiered on the BBC in 2018."
Zenobia Shroff,
Olivia Colman,"Olivia Colman was a prolific and widely respected British television and film actress who earned her first Oscar in 2019 for her role as Queen Anne in the biographical comedy-drama ""The Favourite"" (2018). Born and raised in the historic city of Norwich, England, Colman was inspired by her mother, who pursued ballet dancing as a young woman, to embark on a career in the arts. With that in mind, Colman decided to translate her love of performers and performing into the pursuit of a professional acting career. She started young, and by her mid-teens Colman was nabbing lead roles in school plays. When it came time to enter college, Colman briefly put her acting aspirations on hold to study primary teaching at Homerton College in Cambridge. However, her time at the college would prove to be short-lived. Colman wanted to be an actress after all, so she left Homerton and began studying drama at the Bristol Old Vic Theatre School. After graduating from the school in 1999, Colman began working almost immediately. She started out appearing primarily on television, with supporting roles on shows like ""Mr. Charity"" (BBC, 2001) and ""Holby City"" (BBC, 1999- ). Her first big break in the UK came in 2003 when she began playing Sophie Chapman on the comedy series ""Peep Show"" (Channel 4, 2003-2015). The success of her work on ""Peep Show"" led to additional roles on British comedy shows, including ""Green Wing"" (Channel 4, 2004-07), ""Beautiful People"" (BBC Two, 2008-09), and ""Fleabag"" (BBC, 2016- ). By the early 2010s Colman also began branching out by taking on various film roles. Her film roles included ""The Iron Lady"" (2011), ""I Give It a Year"" (2013), and ""The Lobster"" (2015), the last of which was directed by Yorgos Lanthimos. In 2016 Colman won accolades in America for her recurring role on the thriller mini-series ""The Night Manager"" (BBC One/AMC, 2016). ""The Night Manager"" was broadcast on both British and American television networks, and earned Colman a Golden Globe for Best Supporting Actress. In 2018 Colman worked with Yorgos Lanthimos once again when she was cast as Queen Anne of Britain in the period comedy-drama ""The Favourite."" The film was nominated for 10 Oscars, with Colman taking home her first Academy Award for Best Supporting Actress. In 2019 Colman began playing another Queen of England, Elizabeth II, on the Netflix historical drama series ""The Crown."" Colman began playing Queen Elizabeth II in the third season of the series, which premiered on the streaming network in 2019."
